City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,anar darah,32.7587,61.654,4.63,31,61,1.82,AF,1733784253
161,chonchi,-42.6128,-73.8092,12.49,61,47,0.83,CL,1733784254
162,hasaki,35.7333,140.8333,8.66,56,93,2.9,JP,1733784255
163,west island,-12.1568,96.8225,25.99,94,75,9.26,CC,1733784256
164,luanda,-8.8368,13.2343,27.0,89,20,2.57,AO,1733784114
165,happy valley-goose bay,53.3168,-60.3315,-10.83,79,75,7.72,CA,1733784258
166,puerto colombia,10.9878,-74.9547,29.05,79,5,5.02,CO,1733784259
167,argostolion,38.1811,20.489,13.92,86,70,3.56,GR,1733784260
168,kurchatov,51.6601,35.6521,1.67,84,100,3.89,RU,1733784262
169,praia da vitoria,38.7333,-27.0667,17.14,77,75,5.21,PT,1733784263
170,otjimbingwe,-22.35,16.1333,29.52,34,100,1.65,NA,1733784265
171,enewetak,11.3474,162.3373,27.92,81,51,7.74,MH,1733784266
172,pueblo nuevo,23.3833,-105.3833,14.61,48,94,1.93,MX,1733784267
173,nurdagi,37.1773,36.7419,9.4,70,61,0.9,TR,1733784268
174,port elizabeth,-33.918,25.5701,20.73,98,40,2.57,ZA,1733784042
175,bardai,11.65,7.2333,19.69,29,65,4.13,NG,1733784271
176,beyneu,45.3167,55.2,-2.86,77,5,4.47,KZ,1733784272
177,vanju-mare,44.4253,22.8697,4.41,92,47,0.98,RO,1733784273
178,vilyuysk,63.7553,121.6247,-28.47,99,100,1.55,RU,1733784274
179,bloemfontein,-29.1211,26.214,19.71,30,0,0.0,ZA,1733784275
180,kone,-21.0595,164.8658,32.92,44,1,0.67,NC,1733784276
181,rexburg,43.826,-111.7897,-1.01,64,75,3.6,US,1733784277
182,tarinkot,32.6268,65.8733,4.31,31,76,0.47,AF,1733784280
183,coquimbo,-29.9533,-71.3436,17.85,59,0,5.66,CL,1733784197
184,bhamo,24.2667,97.2333,15.59,88,9,0.52,MM,1733784282
185,ji'an,27.1172,114.9793,10.02,61,89,2.52,CN,1733784283
186,riachao das neves,-11.7461,-44.91,28.82,44,64,1.5,BR,1733784284
187,dudinka,69.4058,86.1778,-8.64,95,100,7.28,RU,1733784286
188,ain sukhna,29.6002,32.3167,15.81,48,13,1.08,EG,1733784288
189,pangai,-19.8,-174.35,29.06,70,20,7.2,TO,1733784289
190,alice springs,-23.7,133.8833,26.75,61,96,3.6,AU,1733784290
191,troy,42.6056,-83.1499,9.72,81,0,3.09,US,1733784133
192,ancud,-41.8697,-73.8203,12.21,66,9,3.62,CL,1733784293
193,cidreira,-30.1811,-50.2056,18.8,87,100,8.7,BR,1733784295
194,pionerskiy,54.9508,20.2275,0.91,88,97,7.97,RU,1733784296
195,tindouf,27.6711,-8.1474,16.25,55,0,4.12,DZ,1733784297
196,mount pearl,47.5166,-52.7813,3.97,87,75,8.75,CA,1733784298
197,rengasdengklok,-6.1592,107.2981,25.99,83,90,3.62,ID,1733784299
198,smithers,54.7804,-127.1743,-1.82,100,100,0.0,CA,1733784300
199,utrik,11.2278,169.8474,27.68,76,23,8.8,MH,1733784302
200,bafq,31.6128,55.4107,9.06,33,83,3.51,IR,1733784303
201,tabriz,38.08,46.2919,-0.3,74,0,3.09,IR,1733784304
202,sitka,57.0531,-135.33,7.94,57,40,5.14,US,1733784305
203,tidjikja,18.5564,-11.4271,20.86,14,100,3.2,MR,1733784307
204,kristiansund,63.1115,7.732,5.36,70,92,4.63,NO,1733784308
205,puerto santa,-8.9906,-78.6456,19.41,85,10,3.62,PE,1733784310
206,hadibu,12.65,54.0333,24.28,64,74,5.94,YE,1733784311
207,whitehorse,60.7161,-135.0538,-4.95,85,75,9.77,CA,1733784312
208,selizharovo,56.8519,33.4487,-3.95,85,15,1.18,RU,1733784313
209,aberystwyth,52.4155,-4.0829,6.44,72,49,6.81,GB,1733784314
210,kijang,35.2442,129.2139,-2.15,64,0,2.52,KR,1733784315
211,kapa'a,22.0752,-159.319,26.18,83,20,5.14,US,1733784316
212,chipinge,-20.1883,32.6236,17.74,90,40,2.47,ZW,1733784318
213,dunedin,-45.8742,170.5036,18.78,59,91,1.34,NZ,1733784319
214,nova sintra,14.8667,-24.7167,24.73,69,0,4.39,CV,1733784320
215,camana,-16.6228,-72.7111,19.49,87,100,3.68,PE,1733784072
216,lompoc,34.6391,-120.4579,21.23,65,0,5.14,US,1733784322
217,siwa oasis,29.2041,25.5195,14.41,44,41,2.38,EG,1733784323
218,santiago de cao,-7.9589,-79.2392,19.07,82,0,5.66,PE,1733784324
219,pokhara,28.2333,83.9833,8.62,26,15,3.11,NP,1733784325
220,arkhangel'sk,64.5401,40.5433,-1.94,93,40,4.0,RU,1733784120
221,mossel bay,-34.1831,22.146,17.96,80,71,2.56,ZA,1733784328
222,chui,-33.6971,-53.4616,14.6,76,47,3.11,UY,1733784329
223,isafjordur,66.0755,-23.124,1.13,67,13,16.95,IS,1733784330
